Domicile,xG,Score,xG.1,Extérieur,Affluence,Arbitre
Everton,1.6,1–0,0.4,Burnley,39177.0,Anthony Taylor
Bournemouth,0.9,1–1,1.5,Arsenal,10234.0,Stuart Attwell
Sheffield Utd,2.1,1–1,0.7,Watford,30222.0,David Coote
Manchester Utd,1.6,4–1,0.9,Newcastle Utd,73206.0,Kevin Friend
Leicester City,0.1,0–4,3.1,Liverpool,32211.0,Michael Oliver
Wolves,1.8,3–2,1.6,Manchester City,31737.0,Martin Atkinson
Brighton,1.0,2–0,0.6,Bournemouth,30441.0,Paul Tierney
Newcastle Utd,1.5,1–2,3.5,Everton,52211.0,Lee Mason
Southampton,1.4,1–1,0.2,Crystal Palace,31108.0,Andy Madley
Watford,2.9,3–0,0.5,Aston Villa,21348.0,Simon Hooper
West Ham,0.9,1–2,2.2,Leicester City,59919.0,David Coote
Norwich City,0.4,2–2,1.8,Tottenham,27072.0,Kevin Friend
Burnley,0.4,0–2,1.8,Manchester Utd,21924.0,Mike Dean
Arsenal,0.8,1–2,1.5,Chelsea,60309.0,Craig Pawson
Liverpool,1.2,1–0,0.6,Wolves,53326.0,Anthony Taylor
Manchester City,1.1,2–0,1.1,Sheffield Utd,54512.0,Chris Kavanagh
Burnley,2.0,1–2,0.9,Aston Villa,19561.0,Michael Oliver
Brighton,0.9,1–1,1.6,Chelsea,30559.0,Stuart Attwell
Southampton,1.4,1–0,0.5,Tottenham,30976.0,Mike Dean
Watford,0.9,2–1,1.4,Wolves,20584.0,Andy Madley
Newcastle Utd,0.7,0–3,1.7,Leicester City,52178.0,Martin Atkinson
Norwich City,1.6,1–1,1.5,Crystal Palace,27021.0,Jonathan Moss
Manchester City,1.6,2–1,1.2,Everton,54407.0,Andre Marriner
West Ham,1.8,4–0,0.3,Bournemouth,59917.0,Graham Scott
Arsenal,1.5,2–0,0.8,Manchester Utd,60328.0,Chris Kavanagh
Liverpool,3.2,2–0,0.8,Sheffield Utd,53321.0,Paul Tierney
Sheffield Utd,1.8,1–0,0.7,West Ham,30124.0,Michael Oliver
Crystal Palace,0.4,1–1,1.3,Arsenal,25468.0,Paul Tierney
Leicester City,1.0,1–2,2.3,Southampton,32115.0,Lee Mason
Everton,1.8,1–0,1.2,Brighton,38772.0,David Coote
Chelsea,2.6,3–0,0.4,Burnley,40396.0,Kevin Friend
Wolves,0.9,1–1,0.3,Newcastle Utd,31570.0,Peter Bankes
Manchester Utd,2.2,4–0,0.3,Norwich City,73271.0,Anthony Taylor
Tottenham,1.6,0–1,1.9,Liverpool,61023.0,Martin Atkinson
Bournemouth,0.3,0–3,2.0,Watford,10384.0,Mike Dean
Aston Villa,1.0,1–6,2.5,Manchester City,41823.0,Jonathan Moss
Watford,1.8,0–0,1.6,Tottenham,21366.0,Michael Oliver
Manchester City,2.1,2–2,0.5,Crystal Palace,54439.0,Graham Scott
Norwich City,2.0,1–0,0.9,Bournemouth,26781.0,Paul Tierney
Arsenal,1.3,1–1,0.7,Sheffield Utd,60310.0,Mike Dean
Southampton,0.7,2–3,1.7,Wolves,31152.0,Darren England
West Ham,1.2,1–1,1.2,Everton,59915.0,Andre Marriner
Brighton,0.7,1–1,0.7,Aston Villa,30551.0,Andy Madley
Newcastle Utd,0.6,1–0,2.0,Chelsea,52217.0,Chris Kavanagh
Burnley,1.4,2–1,2.4,Leicester City,19788.0,Anthony Taylor
Liverpool,2.3,2–0,1.2,Manchester Utd,52916.0,Craig Pawson
Crystal Palace,0.8,0–2,1.3,Southampton,23739.0,Andre Marriner
Aston Villa,1.0,2–1,1.3,Watford,40867.0,Martin Atkinson
Everton,1.6,2–2,0.8,Newcastle Utd,38822.0,Simon Hooper
Bournemouth,1.6,3–1,1.2,Brighton,10065.0,Kevin Friend
Sheffield Utd,0.8,0–1,2.9,Manchester City,31285.0,Lee Mason
Chelsea,2.8,2–2,0.5,Arsenal,40577.0,Stuart Attwell
Tottenham,1.9,2–1,1.6,Norwich City,58182.0,Chris Kavanagh
Leicester City,2.8,4–1,1.6,West Ham,31968.0,David Coote
Manchester Utd,1.8,0–2,0.6,Burnley,73198.0,Jonathan Moss
Wolves,1.6,1–2,1.5,Liverpool,31746.0,Michael Oliver
West Ham,0.8,0–2,2.5,Liverpool,59959.0,Jonathan Moss
Leicester City,1.6,2–2,0.4,Chelsea,32186.0,Lee Mason
West Ham,0.9,3–3,2.0,Brighton,59952.0,Michael Oliver
Newcastle Utd,0.7,0–0,1.4,Norwich City,52204.0,Martin Atkinson
Crystal Palace,1.1,0–1,0.6,Sheffield Utd,25170.0,Andy Madley
Watford,0.6,2–3,2.1,Everton,21229.0,Craig Pawson
Bournemouth,2.2,2–1,1.3,Aston Villa,10722.0,Anthony Taylor
Liverpool,3.2,4–0,1.0,Southampton,53291.0,Kevin Friend
Manchester Utd,0.8,0–0,0.9,Wolves,73363.0,Paul Tierney
Burnley,1.9,0–0,1.0,Arsenal,21048.0,Chris Kavanagh
Tottenham,0.3,2–0,3.0,Manchester City,61022.0,Mike Dean
Everton,2.4,3–1,1.1,Crystal Palace,38987.0,David Coote
Brighton,0.7,1–1,0.3,Watford,30443.0,Kevin Friend
Sheffield Utd,1.7,2–1,1.3,Bournemouth,30361.0,Jonathan Moss
Wolves,0.9,0–0,0.6,Leicester City,31682.0,Mike Dean
Southampton,0.5,1–2,0.6,Burnley,26302.0,Simon Hooper
Norwich City,0.4,0–1,1.9,Liverpool,27110.0,Stuart Attwell
Aston Villa,1.9,2–3,3.5,Tottenham,41874.0,Martin Atkinson
Arsenal,2.0,4–0,0.9,Newcastle Utd,60188.0,Lee Mason
Chelsea,1.4,0–2,0.8,Manchester Utd,40504.0,Anthony Taylor
Manchester City,2.2,2–0,0.1,West Ham,52159.0,Kevin Friend
Chelsea,1.6,2–1,0.4,Tottenham,40608.0,Michael Oliver
Southampton,2.8,2–0,0.5,Aston Villa,31478.0,Craig Pawson
Crystal Palace,1.2,1–0,0.2,Newcastle Utd,25486.0,Peter Bankes
Burnley,2.8,3–0,1.6,Bournemouth,18227.0,Mike Dean
Sheffield Utd,1.5,1–1,1.0,Brighton,31888.0,Graham Scott
Leicester City,1.1,0–1,2.2,Manchester City,32068.0,Paul Tierney
Manchester Utd,2.4,3–0,0.3,Watford,73347.0,Martin Atkinson
Wolves,2.8,3–0,0.4,Norwich City,31046.0,Chris Kavanagh
Arsenal,1.2,3–2,1.9,Everton,60296.0,Stuart Attwell
Liverpool,2.9,3–2,0.7,West Ham,53313.0,Jonathan Moss
Norwich City,0.8,1–0,1.2,Leicester City,27010.0,Craig Pawson
Brighton,1.7,0–1,2.1,Crystal Palace,30124.0,Martin Atkinson
Bournemouth,1.9,2–2,1.9,Chelsea,10667.0,Andre Marriner
West Ham,2.3,3–1,0.8,Southampton,59962.0,Anthony Taylor
Newcastle Utd,1.1,0–0,0.8,Burnley,52219.0,Andy Madley
Watford,2.2,3–0,0.3,Liverpool,21634.0,Michael Oliver
Tottenham,1.5,2–3,2.6,Wolves,58064.0,Stuart Attwell
Everton,2.3,1–1,1.0,Manchester Utd,39374.0,Chris Kavanagh
Liverpool,1.4,2–1,1.3,Bournemouth,53323.0,Paul Tierney
Southampton,0.4,0–1,2.8,Newcastle Utd,30096.0,Graham Scott
Arsenal,1.1,1–0,1.7,West Ham,60335.0,Martin Atkinson
Sheffield Utd,0.9,1–0,1.4,Norwich City,31379.0,Simon Hooper
Wolves,0.6,0–0,0.3,Brighton,31490.0,Andre Marriner
Crystal Palace,0.6,1–0,0.5,Watford,25461.0,Anthony Taylor
Burnley,2.4,1–1,1.2,Tottenham,20496.0,Jonathan Moss
Chelsea,1.9,4–0,0.6,Everton,40694.0,Kevin Friend
Manchester Utd,1.4,2–0,0.6,Manchester City,73288.0,Mike Dean
Leicester City,2.3,4–0,0.5,Aston Villa,32125.0,Michael Oliver
Aston Villa,1.3,0–0,0.3,Sheffield Utd,0.0,Michael Oliver
Manchester City,3.3,3–0,0.2,Arsenal,0.0,Anthony Taylor
Norwich City,0.8,0–3,1.7,Southampton,0.0,Kevin Friend
Tottenham,0.3,1–1,1.7,Manchester Utd,0.0,Jonathan Moss
Watford,0.8,1–1,0.8,Leicester City,0.0,Craig Pawson
Brighton,1.0,2–1,1.3,Arsenal,0.0,Martin Atkinson
West Ham,0.3,0–2,0.7,Wolves,0.0,Anthony Taylor
Bournemouth,0.8,0–2,0.6,Crystal Palace,0.0,Stuart Attwell
Newcastle Utd,1.6,3–0,0.4,Sheffield Utd,0.0,David Coote
Aston Villa,1.1,1–2,1.3,Chelsea,0.0,Paul Tierney
Everton,1.3,0–0,0.8,Liverpool,0.0,Mike Dean
Manchester City,3.0,5–0,0.0,Burnley,0.0,Andre Marriner
Leicester City,0.6,0–0,1.2,Brighton,0.0,Lee Mason
Tottenham,1.6,2–0,0.8,West Ham,0.0,Craig Pawson
Newcastle Utd,0.7,1–1,1.1,Aston Villa,0.0,Chris Kavanagh
Norwich City,0.4,0–1,0.8,Everton,0.0,Andy Madley
Wolves,1.3,1–0,0.1,Bournemouth,0.0,Michael Oliver
Manchester Utd,2.2,3–0,0.2,Sheffield Utd,0.0,Anthony Taylor
Liverpool,2.5,4–0,0.2,Crystal Palace,0.0,Martin Atkinson
Southampton,0.7,0–2,2.7,Arsenal,0.0,Graham Scott
Burnley,1.1,1–0,0.7,Watford,0.0,Mike Dean
Chelsea,3.1,2–1,0.5,Manchester City,0.0,Stuart Attwell
Aston Villa,0.3,0–1,0.4,Wolves,0.0,Craig Pawson
Watford,0.4,1–3,1.2,Southampton,0.0,Michael Oliver
Crystal Palace,1.1,0–1,0.5,Burnley,0.0,Simon Hooper
Brighton,0.5,0–3,0.8,Manchester Utd,0.0,Andre Marriner
Arsenal,2.1,4–0,0.2,Norwich City,0.0,Peter Bankes
Bournemouth,1.4,1–4,1.5,Newcastle Utd,0.0,Kevin Friend
Everton,1.1,2–1,1.6,Leicester City,0.0,David Coote
West Ham,2.8,3–2,1.6,Chelsea,0.0,Martin Atkinson
Sheffield Utd,1.6,3–1,1.0,Tottenham,0.0,Chris Kavanagh
Manchester City,2.7,4–0,1.3,Liverpool,0.0,Anthony Taylor
Norwich City,0.5,0–1,0.5,Brighton,0.0,Stuart Attwell
Manchester Utd,2.2,5–2,1.2,Bournemouth,0.0,Mike Dean
Leicester City,2.4,3–0,0.5,Crystal Palace,0.0,Jonathan Moss
Wolves,0.9,0–2,1.2,Arsenal,0.0,Michael Oliver
Chelsea,2.3,3–0,0.4,Watford,0.0,Kevin Friend
Burnley,1.5,1–1,1.3,Sheffield Utd,0.0,Peter Bankes
Newcastle Utd,1.0,2–2,1.6,West Ham,0.0,Craig Pawson
Liverpool,0.8,2–0,0.5,Aston Villa,0.0,Paul Tierney
Southampton,0.8,1–0,2.9,Manchester City,0.0,Andre Marriner
Tottenham,0.6,1–0,0.4,Everton,0.0,Graham Scott
Watford,0.8,2–1,1.4,Norwich City,0.0,Anthony Taylor
Crystal Palace,1.4,2–3,1.9,Chelsea,0.0,David Coote
Arsenal,1.7,1–1,1.7,Leicester City,0.0,Chris Kavanagh
Sheffield Utd,0.7,1–0,0.4,Wolves,0.0,Martin Atkinson
West Ham,1.8,0–1,1.0,Burnley,0.0,Michael Oliver
Manchester City,3.3,5–0,0.2,Newcastle Utd,0.0,Andy Madley
Brighton,2.2,1–3,1.9,Liverpool,0.0,Craig Pawson
Everton,1.0,1–1,2.4,Southampton,0.0,Lee Mason
Bournemouth,1.1,0–0,0.6,Tottenham,0.0,Paul Tierney
Aston Villa,0.5,0–3,2.6,Manchester Utd,0.0,Jonathan Moss
Norwich City,0.7,0–4,2.7,West Ham,0.0,Kevin Friend
Watford,3.0,2–1,1.4,Newcastle Utd,0.0,Craig Pawson
Liverpool,2.1,1–1,0.8,Burnley,0.0,David Coote
Sheffield Utd,1.9,3–0,0.9,Chelsea,0.0,Andre Marriner
Brighton,0.1,0–5,5.0,Manchester City,0.0,Graham Scott
Wolves,2.4,3–0,0.3,Everton,0.0,Anthony Taylor
Aston Villa,1.7,2–0,1.3,Crystal Palace,0.0,Martin Atkinson
Tottenham,1.5,2–1,0.8,Arsenal,0.0,Michael Oliver
Bournemouth,1.8,4–1,1.2,Leicester City,0.0,Stuart Attwell
Manchester Utd,1.2,2–2,1.6,Southampton,0.0,Chris Kavanagh
Chelsea,2.4,1–0,0.0,Norwich City,0.0,Jonathan Moss
Burnley,1.8,1–1,1.1,Wolves,0.0,Mike Dean
Newcastle Utd,1.1,1–3,1.3,Tottenham,0.0,David Coote
Manchester City,0.8,2–1,1.7,Bournemouth,0.0,Lee Mason
Arsenal,1.1,2–1,2.8,Liverpool,0.0,Paul Tierney
Leicester City,2.2,2–0,0.2,Sheffield Utd,0.0,Michael Oliver
Everton,0.6,1–1,1.5,Aston Villa,0.0,Anthony Taylor
Southampton,1.9,1–1,0.8,Brighton,0.0,Andre Marriner
Crystal Palace,0.8,0–2,1.8,Manchester Utd,0.0,Graham Scott
West Ham,0.7,3–1,1.5,Watford,0.0,Martin Atkinson
Norwich City,0.3,0–2,1.8,Burnley,0.0,Kevin Friend
Bournemouth,1.1,0–2,2.1,Southampton,0.0,Craig Pawson
Tottenham,0.5,3–0,1.7,Leicester City,0.0,Anthony Taylor
Sheffield Utd,0.5,0–1,0.3,Everton,0.0,Stuart Attwell
Brighton,0.6,0–0,0.7,Newcastle Utd,0.0,Simon Hooper
Wolves,1.5,2–0,0.3,Crystal Palace,0.0,Peter Bankes
Watford,0.1,0–4,3.5,Manchester City,0.0,Michael Oliver
Aston Villa,0.6,1–0,0.7,Arsenal,0.0,Chris Kavanagh
Manchester Utd,0.7,1–1,1.8,West Ham,0.0,Paul Tierney
Liverpool,1.4,5–3,2.3,Chelsea,0.0,Andre Marriner
Burnley,1.8,1–2,1.1,Brighton,0.0,Jonathan Moss
West Ham,0.7,1–1,1.2,Aston Villa,0.0,Michael Oliver
